_date,total_views,unique_views
2024-02-06,142,9
2024-02-07,99,23
2024-02-08,139,14
2024-02-09,131,11
2024-02-10,1,1
2024-02-11,53,5
2024-02-12,177,12
2024-02-13,581,14
2024-02-14,86,7
2024-02-15,5,4
2024-02-16,52,8
2024-02-17,67,2
2024-02-18,2,2
2024-02-19,742,17
2024-02-20,385,21
2024-02-21,614,20
2024-02-22,75,11
2024-02-23,48,10
2024-02-24,32,3
2024-02-25,41,1
2024-02-26,168,14
2024-02-27,47,12
2024-02-28,144,13
2024-02-29,360,20
2024-03-01,132,12
2024-03-02,15,2
2024-03-03,20,5
2024-03-04,94,18
2024-03-05,187,16
2024-03-06,90,18
2024-03-07,25,12
2024-03-08,23,7
2024-03-09,7,5
2024-03-10,2,1
2024-03-11,59,11
2024-03-12,91,9
2024-03-13,66,9
2024-03-14,70,9
2024-03-15,6,3
2024-03-16,37,7
2024-03-17,5,2
2024-03-18,79,10
2024-03-19,95,6
