_date,total_clones,unique_clones
2024-02-06,4,4
2024-02-07,2,2
2024-02-08,1,1
2024-02-09,1,1
2024-02-10,1,1
2024-02-11,1,1
2024-02-12,1,1
2024-02-13,1,1
2024-02-14,2,2
2024-02-15,1,1
2024-02-16,1,1
2024-02-17,1,1
2024-02-18,1,1
2024-02-19,8,5
2024-02-20,3,3
2024-02-21,2,2
2024-02-22,2,2
2024-02-23,3,3
2024-02-24,1,1
2024-02-25,1,1
2024-02-26,4,4
2024-02-27,4,4
2024-02-28,1,1
2024-02-29,3,3
2024-03-01,3,3
2024-03-02,2,2
2024-03-03,4,3
2024-03-04,2,2
2024-03-05,4,4
2024-03-06,2,2
2024-03-07,1,1
2024-03-08,4,4
2024-03-09,3,3
2024-03-10,1,1
2024-03-11,3,3
2024-03-12,4,4
2024-03-13,1,1
2024-03-14,2,2
2024-03-15,3,3
2024-03-16,1,1
2024-03-17,1,1
2024-03-18,3,3
2024-04-11,2,2
2024-04-12,4,4
2024-04-13,1,1
2024-04-14,1,1
2024-04-15,1,1
2024-04-16,3,3
2024-04-17,5,4
2024-04-18,2,2
2024-04-19,2,2
2024-04-20,1,1
2024-04-21,1,1
2024-04-22,1,1
2024-04-23,5,5
2024-04-24,7,6
2024-04-25,3,3
2024-05-08,1,1
2024-05-09,3,3
2024-05-10,3,2
2024-05-11,3,3
2024-05-12,2,2
2024-05-13,4,4
2024-05-14,1,1
2024-05-15,5,5
2024-05-16,1,1
2024-05-17,3,3
2024-05-18,4,3
2024-05-19,5,5
2024-05-20,5,5
2024-05-21,7,6
2024-05-22,4,2
2024-10-31,1,1
2024-11-02,1,1
2024-11-04,1,1
